Names,cleavage,egg_size
Adalaria_proxima,equal,small
Adula_californiensis,equal,small
Amphitrite_ornata,unequal,small
Ancula_gibbosa,equal,small
Aplysia_californica,unequal,small
Aplysia_limacina,unequal,small
Arenicola_cristata,unequal,small
Armandia_brevis,equal,small
Armina_californica,equal,small
Bankia_carinata,unequal,small
Bembicium_nanum,equal,small
Bithynia_tentaculata,equal,small
Bonellia_viridis,equal,large
Bulla_gouldiana,equal,small
Busycon_carica,equal,large
Calliostoma_ligatum,equal,small
Capitella_capitata,unequal,small
Capitella_teleta,unequal,small
Cavolina_tridentata,unequal,small
Cerastoderma_edule,unequal,small
Chaetogaster_diaphanus,unequal,large
Chaetopterus_variegatus,unequal,small
Chiton_marmoratus,equal,small
Clymenella_mucosa,unequal,small
Clymenella_torquata,unequal,small
Cochlostoma_elegans,equal,small
Conuber_incei,equal,small
Conus_vexillum,equal,small
Crepidula_fornicata,equal,small
Cymbulia_peronii,unequal,small
Dendronotus_frondosus,equal,small
Dinophilus_sp,unequal,small
Diopatra_cuprea,unequal,small
Doris_montereyensis,equal,small
Doto_coronata,equal,small
Dreissena_polymorpha,unequal,small
Eisenia_fetida,unequal,small
Ennucula_delphinodonta,unequal,small
Epimenia_australis,equal,large
Ercolania_gopalai,equal,small
Erpobdella_octoculata,unequal,small
Fiona_pinnata,equal,small
Firoloida_desmarestia,equal,small
Fusitriton_oregonense,equal,small
Galeolaria_caespitosa,equal,small
Gibbula_magus,equal,small
Glossiphonia_complanata,unequal,large
Glycera_dibranchiata,equal,small
Golfingia_vulgaris,unequal,small
Haliotis_kamtschatkana,equal,small
Haloa_japonica,equal,small
Hermaea_bifida,equal,small
Herpetopoma_gemmatum,equal,small
Hiatella_arctica,unequal,small
Hirudo_medicinalis,unequal,small
Hydroides_hexagonus,equal,small
Ikedosoma_gogoshimense,equal,small
Lacuna_pallidula,equal,small
Laeonereis_culveri,unequal,small
Lambis_truncata,equal,small
Lanice_cochilega,unequal,small
Lepidonotus_squamatus,equal,small
Limapontia_senestra,equal,small
Lissomyema_mellita,equal,small
Littorina_littorea,equal,small
Lumbricillus_lineatus,unequal,small
Lymnaea_stagnalis,equal,small
Lyncina_carneola,equal,small
Magallana_gigas,unequal,small
Marenzelleria_viridis,unequal,small
Margarites_helicinus,equal,small
Marisa_cornuarietis,equal,small
Marsenia_perspicua,equal,small
Melibe_leonina,equal,small
Mercenaria_mercenaria,unequal,small
Mytilus_edulis,equal,small
Myzostoma_ambiguum,equal,small
Neosabellaria_cementarium,equal,small
Notomastus_tenuis,equal,small
Nucella_lapillus,equal,small
Onchidella_carpenteri,equal,small
Pandora_inequivialis,unequal,small
Patella_vulgata,equal,small
Pectinaria_gouldii,unequal,small
Petrasma_pervernicosa,equal,small
Phascolosoma_agassizii,unequal,small
Pholas_dactylus,unequal,small
Phyllodoce_maculata,unequal,small
Physa_fontinalis,equal,small
Pila_globosa,equal,small
Pinctada_maxima,equal,small
Piscicola_geometra,unequal,small
Planorbella_trivolvis,equal,small
Platynereis_dumerilii,unequal,small
Proceraea_fasciata,unequal,small
Pseudopolydora_kempi,equal,small
Pterotrachea_hippocampus,equal,small
Rhynchelmis_limosella,unequal,large
Rissoa_parva,equal,small
Scoloplos_armiger,unequal,small
Serpula_vermicularis,equal,small
Sinotaia_quadratus,equal,small
Sphaerium_striatinum,unequal,small
Spirobranchus_triqueter,equal,small
Spisula_solidissima,unequal,small
Stenoplax_heathiana,equal,large
Sthenelais_boa,equal,small
Streblospio_benedicti,equal,small
Stylaria_sp,unequal,large
Tectura_scutum,equal,small
Themiste_lageniformis,unequal,small
Themiste_pyroides,unequal,small
Theodoxus_fluviatilis,equal,small
Theromyzon_rude,unequal,large
Tomopteris_helgolandica,unequal,large
Tonna_canaliculata,unequal,large
Tricornis_tricornis,equal,large
Tritonia_tetraquetra,equal,small
Tubifex_lineatus,unequal,large
Turbo_radiatus,equal,small
Umbraculum_umbraculum,unequal,small
Urechis_caupo,equal,small
Viviparus_viviparus,equal,small
Yolida_limatula,unequal,small
